,taskdetail,status
0,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '526088592'}",complete
1,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '365447939'}",complete
2,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '348962789'}",complete
3,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '447769405'}",complete
4,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '1094044424'}",complete
5,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '1443858965'}",complete
6,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '1444212828'}",complete
7,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '1452540959'}",complete
8,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '1531530959'}",incomplete
9,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '422901578'}",complete
10,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '1479703469'}",complete
11,"{'PIC': 'Maddie-allmusic', 'region': 'us', 'album_id': '467498126'}",complete
