type: extra, artist_uuid: 71BBDC06F6F34983853B3EAF5491EACA, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.extra.jpg, size: 1280, result: True
type: large, artist_uuid: 71BBDC06F6F34983853B3EAF5491EACA, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.large.jpg, size: 800, result: True
type: medium, artist_uuid: 71BBDC06F6F34983853B3EAF5491EACA, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.medium.jpg, size: 640, result: True
type: small, artist_uuid: 71BBDC06F6F34983853B3EAF5491EACA, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.small.jpg, size: 320, result: True
type: tiny, artist_uuid: 71BBDC06F6F34983853B3EAF5491EACA, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.tiny.jpg, size: 160, result: True
type: micro, artist_uuid: 71BBDC06F6F34983853B3EAF5491EACA, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_71BBDC06F6F34983853B3EAF5491EACA.2019.09.05.13.36.29.micro.jpg, size: 80, result: True
type: extra, artist_uuid: 1422E730478D4EFFB637B0319A50F2FD, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.extra.jpg, size: 1280, result: True
type: large, artist_uuid: 1422E730478D4EFFB637B0319A50F2FD, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.large.jpg, size: 800, result: True
type: medium, artist_uuid: 1422E730478D4EFFB637B0319A50F2FD, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.medium.jpg, size: 640, result: True
type: small, artist_uuid: 1422E730478D4EFFB637B0319A50F2FD, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.small.jpg, size: 320, result: True
type: tiny, artist_uuid: 1422E730478D4EFFB637B0319A50F2FD, original_image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.jpg, image_url: https://s3.amazonaws.com/vibbidi-images/artists/img_1422E730478D4EFFB637B0319A50F2FD.2019.09.05.11.57.34.tiny.jpg, size: 160, result: True
